ID_Publicacion,Usuario_Handle,Plataforma,Perfil_Usuario,Tipo_Publicacion,Contenido_Reciclado,antiguedad_cuenta_dias,Velocidad_Viralizacion,Corroboraciones_Independientes,recon_error,score_anomalia,indice_sospecha
16,@DatosClarosCo,X,Verificado,Post original,No,2400.0,4.4,2,0.05517081443735716,16.17068764755613,12.297082396066672
17,@DatosClarosCo,X,Verificado,Post original,No,2400.0,6.9,2,0.05916521146012652,18.29710865321932,12.463749062732782
18,@plataforma_confianza,X,Verificado,Post original,No,2600.0,4.6,0,0.0714495156937165,24.83666954648091,11.060728151294487
19,@kaiduarte,X,Verificado,Post original,No,1850.0,9.7,0,0.0778648650155214,28.251886781720852,16.087056569188878
20,@johana_uni,X,Cuenta_Nueva,Post original,No,0.0,1.4,0,0.13946728675876588,61.04599383914584,50.54333333333302
21,@carlos03,X,AnÃ³nimo,Post original,No,10.1,0.2,0,0.12381068146235799,52.711185308626455,44.450224110638956
22,@johanasabana,TikTok,Verificado,Post original,No,1901.9,1.5,0,0.0969571368058679,38.41567559625296,15.216095976005667
23,@carolinaramirez34,TikTok,AnÃ³nimo,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),7.3,7.8,1,0.1310560060641744,56.56824066349678,45.97438640339742
24,@daniela15,X,AnÃ³nimo,Comentario,No,1073.8,20.1,0,0.13739203234436653,59.94123020305276,40.13042739314725
25,@haroldbogota,TikTok,AnÃ³nimo,Post original,No,8.1,1.8,1,0.1957461683165402,91.00610928022732,44.569387653086324
26,@RedFactCheckCo,X,Verificado,Post original,No,3000.0,12.3,1,0.06215288001997167,19.8875968163638,9.074686328415165
27,@luisasabana,X,Fan_Antiguo,Comentario,No,2457.1,0.7,0,0.04385675965675791,10.147639961622712,17.943629925851713
28,@cesarsalazar15,TikTok,AnÃ³nimo,Comentario,No,1087.3,2.8,0,0.10808151881015252,44.33775080161952,38.89274014829564
29,@viviana_uni,Instagram,Fan_Antiguo,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),1184.2,1.4,0,0.05061816844691598,13.747082279777587,25.943933183370515
30,@kaisquad_698,Instagram,Cuenta_Nueva,Comentario,No,0.0,1.4,3,0.1605679015280812,72.27892592429221,51.54333333333302
31,@tatiana,X,AnÃ³nimo,Repost/Cita,No,486.5,5.1,0,0.10476503993568909,42.57222015874721,44.800134966257296
32,@cesarmoreno,X,AnÃ³nimo,Comentario,No,399.3,0.1,3,0.13380325151188532,58.03073935714815,43.01166541697906
33,@luisacun,TikTok,Cuenta_Nueva,Comentario,No,13.2,12.3,1,0.12298421793939791,52.2712166761598,52.18752061984231
34,@ivanbogota,Instagram,AnÃ³nimo,Comentario,No,398.5,0.1,0,0.12959469159648865,55.79030853450373,43.01666416729149
35,@felipesalazar03,X,AnÃ³nimo,Comentario,No,0.6,3.9,0,0.15728235286336806,70.5298610076228,45.75625093726482
36,@sebastian_00,TikTok,Verificado,Repost/Cita,No,1113.8,2.2,0,0.09396366571493889,36.822098450237625,23.187156544196796
37,@sebastiancardenassaban,Instagram,AnÃ³nimo,TranscripciÃ³n de audio/video,No,1405.3,0.9,1,0.18631898909868258,85.98754157182617,38.77907023244169
38,@oscarleon_ug,X,Fan_Antiguo,DescripciÃ³n de captura,No,1298.5,2.5,0,0.050856294809682914,13.873849072588463,27.30307006581632
39,@liliana_uni,TikTok,AnÃ³nimo,Repost/Cita,No,911.6,3.5,1,0.1728522359400521,78.81850288304322,42.037257352327806
40,@samuel,TikTok,Fan_Antiguo,Comentario,No,2152.5,0.1,3,0.03837310424851932,7.228410856096115,19.806904107306483
41,@cristiansabana,TikTok,AnÃ³nimo,Comentario,No,883.4,2.4,3,0.11091085589222624,45.843951053904945,40.14012996750759
42,@despiertaya_109,TikTok,Bot_Sospechoso,Repost/Cita,No,1.7,16.6,0,0.21305190814854758,100.0,66.09604432224909
43,@oscarpinzon,X,Cuenta_Nueva,Comentario,No,0.2,4.2,0,0.15670244408203507,70.22114602336715,51.72875031242096
44,@luisa15,Instagram,Fan_Antiguo,Repost/Cita,No,1581.7,0.5,0,0.08990232881391316,34.66004193753057,25.400179121886087
45,@mateox,TikTok,Verificado,Repost/Cita,No,604.3,0.9,0,0.0954940697532378,37.636810477019175,26.28406898275411
46,@juliana,X,Cuenta_Nueva,Comentario,No,0.9,0.1,1,0.15542130906381235,69.53913259347762,51.45104307256517
47,@mvidalteam_885,X,Bot_Sospechoso,Repost/Cita,No,0.0,18.4,3,0.16984646835695744,77.21837968787754,66.22666666666258
48,@porsiempreKai_598,TikTok,Cuenta_Nueva,Comentario,No,775.7,2.1,5,0.12280496054443393,52.17578883363462,46.74308672831745
49,@miguelcardenascun,Instagram,Fan_Antiguo,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),791.9,10.7,0,0.052581818700735014,14.79243333619353,29.015195367822333
50,@antoniasabana,Instagram,Verificado,Repost/Cita,No,1562.2,2.8,0,0.0889765321720742,34.167193225958606,20.425356994084186
51,@antoniacun,X,AnÃ³nimo,Comentario,No,950.1,3.6,0,0.1203090961501716,50.84711307982417,39.80335916020915
52,@gabrielabogota,TikTok,Fan_Antiguo,Comentario,No,1413.4,2.5,3,0.028555371667365916,2.0019316980292206,24.585124552194728
53,@apoyomateo_446,X,Bot_Sospechoso,Repost/Cita,No,0.6,18.3,0,0.1461434622976276,64.60006215594221,66.21625093726162
54,@ximenacardenascun,TikTok,Fan_Antiguo,Comentario,Posible (similar a una publicaciÃ³n anterior),554.5,1.5,4,0.03812407089100343,7.095837714389363,29.88524118970224
55,@jhon_oficial,X,Fan_Antiguo,Post original,No,570.2,2.3,1,0.052235122705067305,14.607869397365036,28.840474048154118
56,@gabrielabogota,X,Fan_Antiguo,TranscripciÃ³n de audio/video,No,1413.4,3.2,0,0.05129960775635954,14.109847136006321,26.63179121886124
57,@paula15,TikTok,Verificado,Repost/Cita,No,1607.4,2.1,0,0.09302179037902428,36.320690230777174,20.09626093476584
58,@noloocultes_349,X,Bot_Sospechoso,Repost/Cita,No,1.1,10.0,0,0.13780465728427582,60.16089147725312,65.65979338498487
59,@laurasuarez_00,X,Verificado,Comentario,No,911.9,5.1,4,0.057017043255235766,17.153529292294774,22.64204948762696
60,@diegoco,TikTok,Fan_Antiguo,Comentario,No,2705.8,2.7,4,0.0381469320282002,7.108007862241833,16.522976755810443
61,@cesar07,X,Verificado,TranscripciÃ³n de audio/video,No,1687.8,2.5,0,0.0548844835489265,16.018259130245887,19.62055319503402
62,@sebastiancardenassaban,TikTok,AnÃ³nimo,Repost/Cita,No,1405.3,3.9,0,0.17475287464734302,79.8303096834994,38.97907023244102
63,@cesar_ug,X,AnÃ³nimo,Comentario,No,560.4,4.3,3,0.12901526229167198,55.48184880002177,42.28504207281417
64,@alejandropinzon99,X,AnÃ³nimo,Repost/Cita,No,1712.2,3.2,0,0.10382661764340687,42.07265017030674,37.014757977171655
65,@yuliana22,X,Cuenta_Nueva,Comentario,No,18.5,4.0,0,0.13362535678067827,57.936036929953474,51.60107056569102
66,@kaisquad_446,TikTok,Cuenta_Nueva,Comentario,No,502.1,3.3,0,0.10730935569972258,43.92668904474938,48.53265933516548
67,@brayan99,X,AnÃ³nimo,Comentario,No,0.0,0.1,0,0.16733638533020775,75.88213463171168,45.50666666666664
68,@adrianacun,Foro anÃ³nimo,Cuenta_Nueva,Comentario,No,17.8,29.9,1,0.18895838024352032,87.39262392607178,53.332111138875305
69,@valeria,Instagram,Verificado,Comentario,No,380.2,2.6,0,0.04049246954444711,8.356656961389353,25.79767724735425
70,@ricardo_real,X,Fan_Antiguo,Comentario,No,919.2,0.1,1,0.04412761112864318,10.291827997000407,27.513102557693887
71,@tomas_,TikTok,AnÃ³nimo,Repost/Cita,No,1442.6,2.3,1,0.17315546046372715,78.97992474293831,38.639336832458035
72,@sofia_uni,X,AnÃ³nimo,Comentario,No,1117.1,3.2,0,0.1177594360876131,49.489799151484114,38.7332033658245
73,@juansalazar03,Instagram,Verificado,Comentario,No,1451.6,2.2,1,0.03682605022805964,6.404835195677566,19.076434224776655
74,@yuliana07,X,Cuenta_Nueva,Repost/Cita,No,14.7,0.7,1,0.11761468863851623,49.412742711044864,53.404814629675755
75,@fabian07,Instagram,Verificado,Comentario,No,519.2,6.7,6,0.06268954253806855,20.173289611779044,25.20247771390337
76,@sara_real,TikTok,Fan_Antiguo,TranscripciÃ³n de audio/video,No,30.0,2.3,2,0.1080305933966534,44.31064060992618,35.215880196617
77,@alejandrolopez2020,X,Cuenta_Nueva,DescripciÃ³n de captura,No,7.1,1.1,0,0.13378490825994635,58.020974309754806,53.47896942431034
78,@samuelcun,X,Cuenta_Nueva,Comentario,No,12.4,14.0,1,0.14480394950636888,63.88697126376238,52.30585270348769
79,@porsiempreKai_915,Instagram,Fan_Antiguo,Comentario,No,535.4,11.6,2,0.05366666432314978,15.369951921916181,30.677919686742406
80,@camilalopez99,X,AnÃ³nimo,Comentario,No,1.5,8.1,1,0.15040619073046002,66.8693296397058,46.03062734316241
81,@carloslopez_col,Foro anÃ³nimo,AnÃ³nimo,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),13.2,14.9,0,0.18131698533072413,83.3247201692559,46.41085395317506
82,@monicapinzon2020,X,Fan_Antiguo,TranscripciÃ³n de audio/video,No,1268.8,2.2,1,0.052015792884393876,14.491108961386898,27.468648671165052
83,@laurasabana,X,Cuenta_Nueva,Comentario,No,0.0,1.2,0,0.15637303268165595,70.04578355507014,51.52999999999973
84,@despiertaya_582,X,Bot_Sospechoso,Repost/Cita,No,2.3,14.6,0,0.1353475660623608,58.852856658148355,65.95896192618187
85,@saratv,X,AnÃ³nimo,Comentario,No,7.2,3.5,1,0.1408636710196003,61.78936031155451,45.688344580520756
86,@ricardorios2020,X,AnÃ³nimo,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),188.5,0.1,0,0.1270712257348921,54.44693911364116,44.32883612430224
87,@tatianamedina07,X,Verificado,Comentario,No,898.6,0.1,1,0.0438687826821675,10.154040430488685,22.39182037823875
88,@despiertaya_820,X,Bot_Sospechoso,Repost/Cita,No,1.3,8.8,0,0.1296752477615028,55.8331926845883,65.57854369740703
89,@melissa_,Instagram,Cuenta_Nueva,Comentario,No,14.6,16.3,1,0.14502658646028876,64.00549225522954,52.44543947346134
90,@paulacun,Instagram,Verificado,Comentario,No,1052.5,5.3,2,0.04336035138600835,9.88337655258007,21.776852453552102
91,@ricardo_00,TikTok,AnÃ³nimo,Comentario,No,1551.1,1.8,1,0.10222618372584993,41.220657671546704,35.9280479880026
92,@valentinamedina2020,X,Fan_Antiguo,Comentario,No,1475.2,0.3,0,0.04398592612841183,10.216401854090245,24.05230442389396
93,@kevin15,X,AnÃ³nimo,Comentario,No,22.8,3.0,1,0.12893693828407124,55.44015294103215,45.557535616095315
94,@claudia_ug,X,AnÃ³nimo,Comentario,No,678.4,0.1,1,0.12335668110096736,52.4694977899505,41.26772640173287
95,@cesarmoreno,X,AnÃ³nimo,Comentario,No,399.3,3.2,0,0.11816958984480364,49.70814488924379,43.21833208364504
96,@carloslopez_col,X,AnÃ³nimo,Comentario,No,13.2,2.4,3,0.1417151296801347,62.24263512897837,45.577520619844506
97,@paula15,Instagram,Verificado,Comentario,No,1607.4,4.0,0,0.042677029899307044,9.519609717520883,18.222927601432083
98,@kevincardenas2020,Instagram,Verificado,Comentario,No,468.4,0.9,0,0.041969197743372606,9.14279460468082,25.13323169207678
99,@cesarlopez98,TikTok,Cuenta_Nueva,Post original,No,10.1,2.0,2,0.20010377082861835,93.32588306916064,50.52022411063856
100,@cesar15,Instagram,AnÃ³nimo,Comentario,No,1280.8,3.3,0,0.12271849519085506,52.12975892146912,37.71700074981182
101,@felipelopez22,Foro anÃ³nimo,Cuenta_Nueva,Comentario,No,0.5,21.1,1,0.2126468536689073,100.0,52.853542447716706
102,@juansalazar03,X,Verificado,Comentario,No,1451.6,1.1,0,0.03866027165196439,7.381284692959729,19.003100891443562
103,@saratv,X,AnÃ³nimo,Comentario,No,7.2,3.2,0,0.1421779138757885,62.48899873007201,45.668344580520824
104,@ricardo98,X,Fan_Antiguo,Post original,No,1284.4,1.1,1,0.04977712280765183,13.299350844004387,24.297839706739737
105,@andres03,TikTok,AnÃ³nimo,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),20.3,3.3,1,0.11342452723933842,47.18210635578509,45.59315671082156
106,@kevin_00,TikTok,Cuenta_Nueva,DescripciÃ³n de captura,No,18.5,2.0,0,0.1909531892330957,88.45456236472452,53.46773723235814
107,@antoniacun,X,AnÃ³nimo,Comentario,No,950.1,3.1,0,0.12243225575773406,51.97737909047885,39.77002582687592
108,@mvidalteam_885,TikTok,Bot_Sospechoso,Repost/Cita,No,0.0,17.8,0,0.2230126991874513,100.0,66.1866666666627
109,@ivan2020,TikTok,Cuenta_Nueva,Comentario,Posible (similar a una publicaciÃ³n anterior),17.7,9.9,1,0.11873277520013706,50.007957141965875,51.999402649335465
110,@david07,X,Verificado,Comentario,No,868.5,3.6,0,0.03790598422918835,6.979739075196753,22.81323169207618
111,@wilsonalarcon_oficial,Instagram,Verificado,Comentario,No,656.4,5.4,4,0.053054332669254314,15.04397659100802,24.258525368656635
112,@ivanalarcon_col,X,AnÃ³nimo,Comentario,No,2157.2,1.1,1,0.11885234119810435,50.07160821325185,32.094203115887446
113,@valentinasuarez_real,Instagram,AnÃ³nimo,DescripciÃ³n de captura,No,6.5,2.3,0,0.19947929834875516,92.99344455814878,47.61271848704439
114,@despiertaya_618,X,Bot_Sospechoso,Repost/Cita,No,3.0,20.4,0,0.14227910587703474,62.54286838695102,66.3412546863239
115,@yuliana,Instagram,Verificado,Comentario,No,1050.4,3.7,2,0.043176644545908596,9.785580043759001,21.683307506455897
116,@brayan99,Instagram,AnÃ³nimo,Comentario,No,0.0,1.0,0,0.1637354312157618,73.96516332772289,45.56666666666644
117,@carlos03,Instagram,AnÃ³nimo,Comentario,No,10.1,1.6,0,0.13949698899860904,61.06180585441566,45.543557443971984
118,@marialeon_col,X,Fan_Antiguo,TranscripciÃ³n de audio/video,No,1483.0,3.3,1,0.053696591340739785,15.385883597830588,26.203566608347177
119,@camilacastro34,X,AnÃ³nimo,Comentario,No,15.2,3.1,1,0.13265543848910627,57.4197000167175,45.61169041072996
120,@daniela15,X,AnÃ³nimo,Comentario,No,1073.8,3.3,0,0.11961172815458077,50.47586857256848,39.010427393150984
121,@samuelvargas2020,Foro anÃ³nimo,Verificado,Comentario,No,762.3,1.2,2,0.06449216380049866,21.132916733428793,23.316815796050722
122,@porsiempreKai_197,Instagram,Fan_Antiguo,Comentario,No,696.4,8.6,2,0.04767571521801204,12.180664540515192,29.471921186368167
123,@adrianariostv,X,Cuenta_Nueva,DescripciÃ³n de captura,No,13.2,2.7,0,0.13412319662492317,58.201062438490546,53.547520619844434
124,@cesar07,X,Verificado,Comentario,No,1687.8,0.1,6,0.06813871933298829,23.0741639951312,17.460553195034553
125,@carlos_oficial,X,Cuenta_Nueva,Comentario,No,1.1,4.5,0,0.16309139760160368,73.62231142850193,51.743126718319424
126,@tomas_,TikTok,AnÃ³nimo,Comentario,No,1442.6,3.1,1,0.1023915875809158,41.308710569099155,36.6926701657912
127,@brayan15,X,AnÃ³nimo,Post original,No,2.1,1.4,0,0.13645047295778676,59.43999017951738,44.58021161376291
128,@carlosmedina,Instagram,Verificado,Comentario,No,857.9,2.7,1,0.03662474554724608,6.297670459828776,22.819465133715973
129,@laura99,Instagram,AnÃ³nimo,Comentario,No,481.6,1.0,3,0.1295173490117075,55.74913513687364,42.55741897858846
130,@ricardo_00,X,AnÃ³nimo,Comentario,No,1551.1,2.5,0,0.11787004070819898,49.54867962510668,35.97471465466911
131,@mateox,X,Verificado,Comentario,No,604.3,7.3,5,0.06525110666092991,21.536940677798807,24.71073564941936
132,@antonia2020,X,Verificado,Comentario,No,881.8,1.1,1,0.037365810517692305,6.6921770926785795,22.563460801466057
133,@ricardocun,X,AnÃ³nimo,Repost/Cita,No,0.3,0.7,0,0.10909507358747488,44.87731763901775,47.54479213529935
134,@johanacun,X,Cuenta_Nueva,Comentario,No,4.5,1.3,0,0.13946903167257957,61.046922745652964,51.508548696159004
135,@cesarramirezcun,TikTok,Verificado,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),2835.2,10.4,0,0.03559648119126765,5.750272964421237,10.97776222610783
136,@gabrielamedina07,Foro anÃ³nimo,Fan_Antiguo,Comentario,No,1199.2,0.5,0,0.06866650802809106,23.355132802543338,25.7902066150128
137,@brayan15,X,AnÃ³nimo,Comentario,No,2.1,12.2,1,0.17310356546018896,78.95229838907726,46.30021161376051
138,@natalia,TikTok,AnÃ³nimo,Comentario,No,944.4,1.6,0,0.10562584311151668,43.03046953766155,39.705641922852266
139,@cristianramirez_,X,Verificado,Comentario,No,853.0,3.8,6,0.06193936430797582,19.77393152659941,22.923415812712644
140,@luisarojas_,X,AnÃ³nimo,Comentario,No,10.7,0.1,1,0.14854918772163142,65.88075234429836,45.439808381238
141,@harold_uni,TikTok,Fan_Antiguo,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),681.4,4.0,2,0.022764355699195164,0.0,29.25898108806043
142,@despiertaya_820,X,Bot_Sospechoso,Repost/Cita,No,1.3,28.8,0,0.15433692250525283,68.96185839082935,66.91187703073592
143,@angie07,X,Cuenta_Nueva,Comentario,SÃ­ (idÃ©ntico a publicaciÃ³n de 2023 sobre otro creador),21.7,14.9,1,0.1429048509389181,62.875984358196234,52.30774223110557
144,@saralopez34,TikTok,Verificado,Comentario,No,749.9,2.9,0,0.025779162986407957,0.5240143999633854,23.507629759226216
145,@jorgesalazarbogota,X,Fan_Antiguo,Comentario,No,2121.2,4.3,5,0.06305070487499115,20.36555472095794,20.282480213279058
146,@gabrielamedina07,X,Fan_Antiguo,Comentario,No,1199.2,0.4,0,0.04354003314573972,9.979030306087632,25.783539948346156
147,@viviana_real,Foro anÃ³nimo,Cuenta_Nueva,Comentario,No,10.6,1.7,7,0.1827399579290676,84.08224096810298,51.49709989169337
148,@teamkai_498,X,Cuenta_Nueva,Comentario,No,920.5,5.5,3,0.12875697152012694,55.344347465264235,46.064979588434994
149,@kaisquad_668,TikTok,Cuenta_Nueva,Comentario,No,0.0,0.1,4,0.1577783534313656,70.79390737572257,51.45666666666664
150,@mvidalteam_435,X,Bot_Sospechoso,Repost/Cita,No,2.0,6.3,0,0.12475773454370709,53.215349905730655,65.40750312421754
151,@claudiavargas22,TikTok,AnÃ³nimo,Comentario,No,6.8,16.5,0,0.13755437160523987,60.02765166100929,46.55751062234075
152,@manuelapinzon,X,Cuenta_Nueva,Comentario,No,7.0,1.6,0,0.14490811481271051,63.94242376240074,51.51292760143262
153,@estebanramirez03,Instagram,AnÃ³nimo,Repost/Cita,No,281.6,1.5,0,0.1731410849907568,78.97227194640452,45.840439890027156
154,@tomascastro_,X,AnÃ³nimo,Repost/Cita,No,1158.0,3.7,0,0.10370777072465291,42.00938190151519,40.51097558943515
155,@mariax,X,AnÃ³nimo,Comentario,No,1742.6,1.7,1,0.11833196262445393,49.7945841909527,34.724805465299966
156,@carolina_00,Instagram,Verificado,Comentario,No,985.8,2.1,0,0.04245691202732455,9.402429761688415,21.980289927517653
157,@kevincastro03,X,Fan_Antiguo,Comentario,No,30.0,2.9,0,0.04481601236526259,10.6582990416982,33.25588019661687
158,@monicaalarcon22,TikTok,Fan_Antiguo,Comentario,No,397.5,0.1,0,0.030897472934410863,3.248751506687565,30.77291260518201
159,@carlos_00,X,Verificado,Repost/Cita,No,974.1,2.9,0,0.035093594363786236,5.482560689619268,24.106729984169977
160,@johanatv,Instagram,Cuenta_Nueva,Comentario,No,10.5,1.4,0,0.13883046646053032,60.7069819554293,51.47772473548249
161,@wilsonalarcon_oficial,Instagram,Verificado,Repost/Cita,No,656.4,1.5,0,0.08888859515028044,34.12037986983706,25.998525368657504
162,@noloocultes_218,X,Bot_Sospechoso,Repost/Cita,No,1.0,20.8,0,0.147844787902688,65.50576443927831,66.3804182287715
163,@DatosClarosCo,X,Verificado,Post original,No,2400.0,5.8,2,0.05848960736534634,17.93745017899569,12.390415729399693
164,@tatiana_11,X,Verificado,Comentario,No,1064.8,2.4,0,0.03711433990865878,6.558306477837929,21.506663334165925
165,@jorge15,Instagram,AnÃ³nimo,DescripciÃ³n de captura,No,30.0,0.1,0,0.19605545710936936,91.17075945950072,47.31921352995082
166,@juan34,Foro anÃ³nimo,AnÃ³nimo,Comentario,No,30.0,2.0,0,0.1528079955618604,68.14793269690821,45.445880196617075
167,@samuelcun,X,Cuenta_Nueva,Comentario,No,12.4,3.4,1,0.1375665158227349,60.034116646595734,51.599186036823376
168,@tatiana15,Instagram,AnÃ³nimo,Comentario,No,1660.6,5.1,2,0.12535197062630937,53.53169204226982,35.46384403898912
169,@vivianacruz_00,Instagram,AnÃ³nimo,Comentario,No,313.8,0.1,1,0.1296878415491593,55.839896999272334,43.545906856619155
170,@monicamedinasabana,Foro anÃ³nimo,AnÃ³nimo,Post original,No,25.5,3.5,0,0.2003942014565454,93.48049408664129,44.57399816712411
171,@isabellaalarcon_11,Instagram,AnÃ³nimo,Comentario,No,11.2,0.9,0,0.1431002491362409,62.98000477201274,45.49001749562589
172,@carlos_real,TikTok,Fan_Antiguo,Comentario,No,30.0,1.9,1,0.025538945641899402,0.39613447105900307,33.18921352995042
173,@tomaspinzonsabana,X,Fan_Antiguo,TranscripciÃ³n de audio/video,No,30.0,4.1,1,0.06036183506509844,18.934132352911686,35.3358801966166
174,@camilalopez99,Instagram,AnÃ³nimo,Comentario,Posible (similar a una publicaciÃ³n anterior),1.5,14.2,0,0.1595120882100694,71.71686271307875,46.437294009827724
175,@melissagomez_11,Instagram,AnÃ³nimo,Repost/Cita,No,1288.8,3.7,0,0.17236515350215734,78.55920408987744,39.693679913354174
176,@mateo,TikTok,Fan_Antiguo,Post original,No,431.8,0.1,0,0.10438893127601771,42.37199836061895,29.558591185536926
177,@tatianalopez_,X,AnÃ³nimo,Comentario,No,4000.0,2.6,0,0.12009196400450972,50.73152257820197,20.679581771223283
178,@jorgecun,X,Cuenta_Nueva,Comentario,No,2.2,7.1,1,0.15532317382233155,69.48689020552993,51.90958676997259
179,@isabella15,TikTok,Verificado,Comentario,No,759.5,3.6,0,0.025432404061049796,0.3394169604550885,23.494311422143664
180,@estebanlopez98,X,Verificado,Repost/Cita,No,2699.5,1.9,0,0.035808287149574666,5.863028065203984,13.259008581187615
181,@miguelgomez98,Instagram,Verificado,Repost/Cita,No,736.6,1.6,0,0.09149215379678338,35.50638675994873,25.504067316503853
182,@yesidcastro,Foro anÃ³nimo,AnÃ³nimo,Comentario,No,23.9,2.5,1,0.15462995004669358,69.11785187765742,45.51732900108251
183,@isabellaalarcon_11,X,AnÃ³nimo,Comentario,No,11.2,0.4,0,0.14195165770818477,62.368551046801954,45.456684162292675
184,@yulianasuarez07,TikTok,Fan_Antiguo,Comentario,No,511.7,2.8,0,0.022555268212473778,0.0,30.239340998083197
185,@isabellamoreno99,X,Fan_Antiguo,Comentario,No,30.0,3.1,0,0.045811325025968755,11.188154671187116,33.26921352995016
186,@claudiavargas22,Foro anÃ³nimo,AnÃ³nimo,Comentario,No,6.8,16.0,0,0.17727313580231935,81.1719730757836,46.524177289007525
187,@tomascastro_,Foro anÃ³nimo,AnÃ³nimo,Comentario,No,1158.0,3.3,0,0.14910457540373231,66.17641349835338,38.48430892276858
188,@gabriela99,X,Verificado,Comentario,No,1575.7,2.9,1,0.03811109284289624,7.088928838293591,18.34766974922871
189,@valentinasuarez_real,X,AnÃ³nimo,Post original,No,6.5,3.5,0,0.1238787924751719,52.74744427025168,44.69271848704413
190,@apoyomateo_446,TikTok,Bot_Sospechoso,Repost/Cita,No,0.6,8.4,4,0.22533160498550128,100.0,65.55625093726381
191,@yulianapardo_col,X,Fan_Antiguo,Comentario,No,1261.8,0.1,3,0.05484524231964586,15.99736902499227,25.37238773639921
192,@antonianino_11,TikTok,Cuenta_Nueva,Comentario,No,4.7,2.4,5,0.13901570078766212,60.80559162340613,51.58063234191399
193,@oscarpinzon,TikTok,Cuenta_Nueva,TranscripciÃ³n de audio/video,No,0.2,0.9,0,0.22203180791004282,100.0,53.5087503124217
194,@fabian03,TikTok,AnÃ³nimo,Comentario,No,865.1,1.1,1,0.10510103025412502,42.75108492024914,40.167809714237855
195,@monica2020,TikTok,Cuenta_Nueva,Repost/Cita,No,19.1,1.2,0,0.19853917100907098,92.4929668861229,53.41065483629066
196,@porsiempreKai_824,X,AnÃ³nimo,Comentario,No,0.0,23.8,2,0.17870360704679275,81.93348578593891,47.08666666666138
197,@daniela15,X,AnÃ³nimo,Comentario,No,1073.8,1.2,1,0.11947735816438187,50.40433658211762,38.87042739315145
198,@felipesuarezbogota,X,Fan_Antiguo,Comentario,No,1413.3,1.3,0,0.04048374340514485,8.352011592938272,24.505749395984047
199,@noloocultes_989,X,Bot_Sospechoso,Repost/Cita,No,2.1,29.5,0,0.15161217984877226,67.51133907921876,66.95354494709001
200,@sebastianpinzon,TikTok,Verificado,Comentario,No,1127.4,2.1,0,0.025081679999643097,0.1527086770482352,21.095511122218976
